,0
BCPC,chemicals-specialty
CDXS,chemicals-specialty
CHX,chemicals-specialty
CMP,chemicals-specialty
DNMR,chemicals-specialty
DOW,chemicals-specialty
DQ,chemicals-specialty
ECL,chemicals-specialty
FF,chemicals-specialty
GEL,chemicals-specialty
GEVO,chemicals-specialty
GPRE,chemicals-specialty
G  G,wholesale-distributors
IOSP,chemicals-specialty
KRO,chemicals-specialty
KWR,chemicals-specialty
LIN,chemicals-specialty
LTHM,chemicals-specialty
LWLG,chemicals-specialty
LYB,chemicals-specialty
MEOH,chemicals-specialty
MTX,chemicals-specialty
NEU,chemicals-specialty
NXGL,chemicals-specialty
OEC,chemicals-specialty
ORGN,chemicals-specialty
ROG,chemicals-specialty
SCL,chemicals-specialty
SHI,chemicals-specialty
SSL,chemicals-specialty
TANH,chemicals-specialty
TROX,chemicals-specialty
TSE,chemicals-specialty
WLK,chemicals-specialty
AMR,coal
ARCH,coal
AREC,coal
ARLP,coal
BTU,coal
CEIX,coal
HCC,coal
HNRG,coal
METC,coal
NRP,coal
SXC,coal
TECK,coal
ARC,commercial-printing-forms
CMPR,commercial-printing-forms
DLX,commercial-printing-forms
DSS,commercial-printing-forms
LVO,commercial-printing-forms
MTA,commercial-printing-forms
QUAD,commercial-printing-forms
WMG,commercial-printing-forms
AAOI,computer-communications
ANET,computer-communications
FFIV,computer-communications
FTNT,computer-communications
INTZ,computer-communications
LGMK,computer-communications
LTCH,computer-communications
OBLG,computer-communications
PANW,computer-communications
RDWR,computer-communications
SMCI,computer-communications
SMRT,computer-communications
UUU,computer-communications
BLZE,computer-peripherals
CAJ,computer-peripherals
DM,computer-peripherals
EXTR,computer-peripherals
IMMR,computer-peripherals
LINK,computer-peripherals
LOGI,computer-peripherals
NTAP,computer-peripherals
PSTG,computer-peripherals
QMCO,computer-peripherals
SCKT,computer-peripherals
SSYS,computer-peripherals
STX,computer-peripherals
WDC,computer-peripherals
XRX,computer-peripherals
ZBRA,computer-peripherals
BOXL,computer-processing-hardware
DELL,computer-processing-hardware
EBON,computer-processing-hardware
HPE,computer-processing-hardware
HPQ,computer-processing-hardware
IONQ,computer-processing-hardware
NCR,computer-processing-hardware
OSS,computer-processing-hardware
CPAC,construction-materials
CRH,construction-materials
CX,construction-materials
EXP,construction-materials
JHX,construction-materials
LOMA,construction-materials
MLM,construction-materials
SMID,construction-materials
SND,construction-materials
SUM,construction-materials
VMC,construction-materials
CENT,consumer-sundries
DOGZ,consumer-sundries
AMCR,containers-packaging
ATR,containers-packaging
AVY,containers-packaging
BALL,containers-packaging
BERY,containers-packaging
CCK,containers-packaging
GEF,containers-packaging
GEF.,containers-packaging
GPK,containers-packaging
IP,containers-packaging
OC,containers-packaging
OI,containers-packaging
PACK,containers-packaging
PKG,containers-packaging
SEE,containers-packaging
SLGN,containers-packaging
SON,containers-packaging
WRK,containers-packaging
BORR,contract-drilling
HP,contract-drilling
ICD,contract-drilling
NBR,contract-drilling
NE,contract-drilling
PDS,contract-drilling
PTEN,contract-drilling
RIG,contract-drilling
VAL,contract-drilling
ADP,data-processing-services
ARBK,data-processing-services
AVPT,data-processing-services
BCOR,data-processing-services
BITF,data-processing-services
BTB,data-processing-services
BTCM,data-processing-services
CIFR,data-processing-services
CLSK,data-processing-services
CSGS,data-processing-services
CYXT,data-processing-services
DBX,data-processing-services
DGHI,data-processing-services
DXC,data-processing-services
EEFT,data-processing-services
EXLS,data-processing-services
FDS,data-processing-services
FIS,data-processing-services
FLNT,data-processing-services
FVRR,data-processing-services
GDS,data-processing-services
GPN,data-processing-services
HIMS,data-processing-services
HUT,data-processing-services
IOT,data-processing-services
IREN,data-processing-services
KD,data-processing-services
KERN,data-processing-services
MARA,data-processing-services
MOXC,data-processing-services
MPLN,data-processing-services
MRIN,data-processing-services
MSCI,data-processing-services
PAYX,data-processing-services
RAMP,data-processing-services
RCAT,data-processing-services
RXT,data-processing-services
SDIG,data-processing-services
SKLZ,data-processing-services
SLHG,data-processing-services
TYL,data-processing-services
VRSK,data-processing-services
WEX,data-processing-services
WULF,data-processing-services
YEXT,data-processing-services
ZEN,data-processing-services
COST,department-stores
DDS,department-stores
JWN,department-stores
KSS,department-stores
OLLI,department-stores
BIG,discount-stores
DG,discount-stores
DLTR,discount-stores
FIVE,discount-stores
PSMT,discount-stores
BIMI,drugstore-chains
CVS,drugstore-chains
PETS,drugstore-chains
RAD,drugstore-chains
WBA,drugstore-chains
AEE,electric-utilities
AEP,electric-utilities
AES,electric-utilities
AESC,electric-utilities
AGR,electric-utilities
ALE,electric-utilities
AQN,electric-utilities
AQNU,electric-utilities
AVA,electric-utilities
BEP,electric-utilities
BEPC,electric-utilities
BKH,electric-utilities
BWXT,electric-utilities
CEG,electric-utilities
