,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
45,ALT,"Altimmune, Inc.",Roberts M Scot,Chief Scientific Officer,"Jun 27, 2022",$12.00,37352,448254,17700,"Jun 28, 2022, 07:00 PM",sell
46,HRMY,"Harmony Biosciences Holdings, Inc.",Nielsen Jack,Director,"Jun 27, 2022",$52.37,86209,4514765,3750044,"Jun 28, 2022, 06:34 PM",sell
47,HRMY,"Harmony Biosciences Holdings, Inc.",Nielsen Jack,Director,"Jun 24, 2022",$52.06,11528,600148,3836253,"Jun 28, 2022, 06:34 PM",sell
48,HRMY,"Harmony Biosciences Holdings, Inc.",Nielsen Jack,Director,"Jun 28, 2022",$52.10,2726,142025,3747318,"Jun 28, 2022, 06:34 PM",sell
49,PLYA,Playa Hotels & Resorts N.V.,Peterson Karl Mr.,Director,"Jun 27, 2022",$7.00,20000,140000,2874033,"Jun 28, 2022, 06:33 PM",sell
50,UPST,"Upstart Holdings, Inc.",Nicoll Alison,General Counsel and Secretary,"Jun 24, 2022",$40.31,15000,604576,412983,"Jun 28, 2022, 06:32 PM",sell
51,PLTR,Palantir Technologies Inc.,Taylor Ryan D.,See Remarks,"Jun 24, 2022",$10.11,77607,784591,606526,"Jun 28, 2022, 06:27 PM",sell
52,PLTR,Palantir Technologies Inc.,Buckley Jeffrey,See Remarks,"Jun 24, 2022",$10.00,21342,213420,368081,"Jun 28, 2022, 06:25 PM",sell
53,SFM,"Sprouts Farmers Market, Inc.",Sinclair Jack,Chief Executive Officer,"Jun 27, 2022",$25.65,26536,680648,293591,"Jun 28, 2022, 06:19 PM",sell
54,UBX,"Unity Biotechnology, Inc.",Dananberg Jamie,Chief Medical Officer,"Jun 27, 2022",$0.59,4398,2595,672136,"Jun 28, 2022, 06:11 PM",sell
55,UBX,"Unity Biotechnology, Inc.",Ghosh Anirvan,Chief Executive Officer,"Jun 27, 2022",$0.59,12149,7168,1007362,"Jun 28, 2022, 06:07 PM",sell
56,MNMD,Mind Medicine (MindMed) Inc.,Barrow Robert,Chief Executive Officer,"Jun 27, 2022",$0.70,36762,25733,3918857,"Jun 28, 2022, 06:05 PM",sell
57,MNMD,Mind Medicine (MindMed) Inc.,Karlin Dan,Chief Medical Officer,"Jun 27, 2022",$0.70,26238,18367,4051481,"Jun 28, 2022, 06:04 PM",sell
58,RLAY,"Relay Therapeutics, Inc.",Porter Andy,Chief Administrative Officer,"Jun 27, 2022",$20.31,265,5382,46323,"Jun 28, 2022, 06:03 PM",sell
59,TNET,"TRINET GROUP, INC.",Goldfield Burton M.,"PRESIDENT, CEO and DIRECTOR","Jun 24, 2022",$75.60,6250,472489,229718,"Jun 28, 2022, 06:02 PM",sell
60,CDNS,CADENCE DESIGN SYSTEMS INC,TAN LIP BU,Director,"Jun 24, 2022",$153.88,50000,7694194,641418,"Jun 28, 2022, 06:02 PM",sell
61,RLAY,"Relay Therapeutics, Inc.",Catinazzo Thomas,Chief Financial Officer,"Jun 27, 2022",$20.31,300,6093,52952,"Jun 28, 2022, 05:59 PM",sell
62,ACHR,Archer Aviation Inc.,Goldstein Adam D,Chief Executive Officer,"Jun 24, 2022",$4.08,2700000,11022480,0,"Jun 28, 2022, 05:58 PM",sell
63,NRDY,Nerdy Inc.,"LIGHT STREET CAPITAL MANAGEMENT, LLC",10% Owner,"Jun 24, 2022",$2.86,6100,17445,9033943,"Jun 28, 2022, 05:57 PM",sell
64,RBOT,Vicarious Surgical Inc.,Sachs Adam David,President and CEO,"Jun 28, 2022",$3.20,8578,27410,1299590,"Jun 28, 2022, 05:57 PM",sell
65,RBOT,Vicarious Surgical Inc.,Sachs Adam David,President and CEO,"Jun 27, 2022",$3.45,11329,39127,1308168,"Jun 28, 2022, 05:57 PM",sell
66,RLAY,"Relay Therapeutics, Inc.",Adams Brian,Chief Legal Officer,"Jun 27, 2022",$20.31,300,6093,63576,"Jun 28, 2022, 05:56 PM",sell
67,PHR,"Phreesia, Inc.",Davidoff Michael J.,"SVP, Payer Business","Jun 24, 2022",$25.11,5046,126705,110509,"Jun 28, 2022, 05:56 PM",sell
68,RLAY,"Relay Therapeutics, Inc.",Bergstrom Donald A,"President, R&D","Jun 27, 2022",$20.31,999,20290,91494,"Jun 28, 2022, 05:53 PM",sell
69,RLAY,"Relay Therapeutics, Inc.",Bergstrom Donald A,"President, R&D","Jun 24, 2022",$20.00,8000,160000,92493,"Jun 28, 2022, 05:53 PM",sell
70,BGNE,"BeiGene, Ltd.",Wang Lai,Global Head of R&D,"Jun 27, 2022",$177.32,458,81215,0,"Jun 28, 2022, 05:32 PM",sell
71,ZTS,Zoetis Inc.,Lagano Roxanne,Executive Vice President,"Jun 27, 2022",$175.00,4334,758450,23687,"Jun 28, 2022, 05:29 PM",sell
72,CRM,"Salesforce, Inc.",Benioff Marc,Chairman and Co-CEO,"Jun 27, 2022",$182.05,2300,418706,28762347,"Jun 28, 2022, 05:25 PM",sell
73,ZETA,Zeta Global Holdings Corp.,Ravella Satish,"Senior Vice President, Finance","Jun 27, 2022",$5.23,1576,8249,237652,"Jun 28, 2022, 05:17 PM",sell
74,PCVX,"Vaxcyte, Inc.",PICKERING GRANT,Chief Executive Officer,"Jun 24, 2022",$21.01,747,15696,694456,"Jun 28, 2022, 05:14 PM",sell
